City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,qaanaaq,77.484,-69.3632,-21.22,53,97,3.5,GL,1675234411
145,petropavlovsk-kamchatskiy,53.0452,158.6483,-11.67,67,0,2.0,RU,1675234411
146,umm kaddadah,13.6017,26.6876,23.1,19,26,9.12,SD,1675234412
147,baft,29.234,56.6057,5.33,57,100,6.64,IR,1675234412
148,gejiu,23.306,103.1635,21.7,28,0,2.78,CN,1675234413
149,karacabey,40.2152,28.4038,3.21,71,62,5.04,TR,1675234413
150,pryshyb,47.2603,35.3228,-0.06,92,100,1.73,UA,1675234414
151,ust-kuyga,70.0167,135.6,-26.63,97,100,4.07,RU,1675234415
152,gornopravdinsk,60.05,69.9,-7.07,94,100,3.52,RU,1675234415
153,souillac,-20.5167,57.5167,29.21,74,75,4.63,MU,1675234416
154,byron bay,-28.65,153.6167,27.19,81,82,3.27,AU,1675234416
155,kavaratti,10.5669,72.642,26.46,77,48,6.28,IN,1675234417
156,butaritari,3.0707,172.7902,26.94,78,11,8.25,KI,1675234418
157,kerema,-7.9631,145.7785,28.65,78,98,2.11,PG,1675234384
158,rosetta,31.4044,30.4164,12.89,80,85,14.54,EG,1675234418
159,panguna,-6.3164,155.4848,21.46,96,100,1.56,PG,1675234419
160,georgetown,5.4112,100.3354,29.97,74,20,3.09,MY,1675234217
161,kununurra,-15.7667,128.7333,26.99,94,100,3.6,AU,1675234420
162,nanortalik,60.1432,-45.2371,-8.59,78,85,4.43,GL,1675234421
163,port lincoln,-34.7333,135.8667,18.36,57,6,7.71,AU,1675234421
164,ancud,-41.8697,-73.8203,8.49,89,26,1.19,CL,1675234422
165,geraldton,-28.7667,114.6,31.23,42,0,10.8,AU,1675234422
166,teya,60.3778,92.6267,-11.26,90,100,1.24,RU,1675234423
167,kahului,20.8947,-156.47,23.8,90,20,1.34,US,1675234424
168,wasilla,61.5814,-149.4394,-2.26,93,100,1.54,US,1675234424
169,ucluelet,48.9329,-125.5528,3.94,92,100,0.45,CA,1675234425
170,cidreira,-30.1811,-50.2056,23.15,92,0,0.19,BR,1675234425
171,necochea,-38.5473,-58.7368,18.48,84,100,2.5,AR,1675234426
172,dauphin,51.1494,-100.0502,-25.92,70,100,3.6,CA,1675234427
173,shelburne,44.0787,-80.2041,-13.0,93,7,3.98,CA,1675234162
174,pangoa,-12.1167,-73.0,20.02,100,100,0.69,PE,1675234427
175,poum,-20.2333,164.0167,26.57,59,39,2.16,NC,1675234428
176,omboue,-1.5746,9.2618,26.36,81,97,3.26,GA,1675234429
177,srivardhan,18.0333,73.0167,32.02,35,12,2.31,IN,1675234429
178,la palma,33.8464,-118.0467,14.6,32,0,1.54,US,1675234395
179,ahipara,-35.1667,173.1667,21.16,87,100,3.95,NZ,1675234430
180,tasiilaq,65.6145,-37.6368,-8.91,65,100,4.7,GL,1675234431
181,pangnirtung,66.1451,-65.7125,-31.71,76,94,2.03,CA,1675234431
